//Fill tile for whole map
Fill:0
//TileId-x-y
3,1,1
3,1,2
3,1,3
3,1,4
2,6,-6
2,6,-5
2,6,-4
2,7,-5
2,6,-3
2,8,-6
2,8,-5
2,8,-4
2,8,-3
2,10,-6
2,10,-5
2,10,-3
2,10,-4
2,11,-3
2,11,-5
2,11,-7
2,10,-7
2,8,-7
2,6,-7
2,13,-7
2,13,-6
2,13,-5
2,13,-4
2,13,-3
2,17,-7
2,17,-6
2,17,-5
2,17,-4
2,17,-3
2,18,-3
2,19,-3
2,19,-4
2,19,-5
2,19,-6
2,19,-7
2,18,-7
2,15,-7
2,15,-6
2,15,-4
2,15,-5
2,15,-3
2,21,-7
2,21,-6
2,21,-4
2,21,-5
2,22,-3
2,23,-3
2,23,-4
2,24,-3
2,25,-4
2,25,-5
2,25,-6
2,23,-5
2,23,-6
2,25,-7
2,23,-7
2,10,-1
2,10,0
2,10,1
2,10,2
2,11,3
2,12,3
2,13,3
2,14,2
2,14,1
2,12,2
2,12,1
2,12,0
2,12,-1
2,14,-1
2,14,0
2,16,3
2,16,2
2,16,0
2,16,-1
2,17,-1
2,18,-1
2,18,0
2,18,1
2,18,3
2,18,2
2,17,3
2,16,1
2,20,-1
2,22,-1
2,21,-1
2,22,0
2,21,1
2,20,1
2,20,0
2,20,2
2,20,3
2,22,2
2,22,3
2,24,-1
2,24,0
2,24,1
2,24,2
2,24,3
2,25,3
2,26,3
2,28,-1
2,28,0
2,28,1
2,28,2
2,28,3
2,29,3
2,30,2
2,30,1
2,30,0
2,29,-1
